iter	Logloss
0	0.6663910246
1	0.6336996625
2	0.6162355477
3	0.5999637229
4	0.5749137895
5	0.5545636825
6	0.5413761439
7	0.5158884727
8	0.4979433144
9	0.4773309019
10	0.4670746553
11	0.4522398992
12	0.4397872276
13	0.4309135031
14	0.4171858829
15	0.4041312314
16	0.3953781987
17	0.3846358664
18	0.3730058247
19	0.3676170461
20	0.3570735556
21	0.3483647683
22	0.3409699022
23	0.3313903708
24	0.3232512698
25	0.3174182549
26	0.3143435973
27	0.311475736
28	0.309215168
29	0.3018207712
30	0.2945520201
31	0.2894781518
32	0.2835380625
33	0.279124572
34	0.2750277564
35	0.2697546239
36	0.2647918432
37	0.2624832731
38	0.2600299176
39	0.2579665928
40	0.2541162185
41	0.2525195175
42	0.2498296935
43	0.2483315456
44	0.2456912921
45	0.2439377919
46	0.2409648427
47	0.2397671511
48	0.23724572
49	0.2359107393
50	0.2345371934
51	0.2331583
52	0.23006592
53	0.229326166
54	0.2271729201
55	0.2257937961
56	0.2248484461
57	0.2228364395
58	0.2213934501
59	0.2204581045
60	0.2199730146
61	0.218528372
62	0.2176055726
63	0.2163847521
64	0.2154036769
65	0.2147596005
66	0.213105381
67	0.2126207141
68	0.2109969502
69	0.2095811603
70	0.2091614953
71	0.2083567951
72	0.2076042569
73	0.2072133998
74	0.2065756654
75	0.2061781974
76	0.205673323
77	0.2048485193
78	0.2037598864
79	0.2036454329
80	0.2034063172
81	0.2025424555
82	0.201437265
83	0.2003892636
84	0.1993471864
85	0.1992282476
86	0.1989161119
87	0.1986417674
88	0.1977796525
89	0.1974507449
90	0.1967051782
91	0.1965932483
92	0.1958396942
93	0.1955506496
94	0.1947655256
95	0.194219798
96	0.1937824242
97	0.1933428725
98	0.1924078159
99	0.1922168687
100	0.1921676862
101	0.1919889386
102	0.1915304669
103	0.1911147474
104	0.1906750402
105	0.1901566645
106	0.1897281674
107	0.1895679484
108	0.1893742607
109	0.1887733139
110	0.1885905502
111	0.1883660461
112	0.1879960895
113	0.1879361683
114	0.1879155285
115	0.1877758216
116	0.1875673056
117	0.1875373976
118	0.1874108782
119	0.1869291987
120	0.1866562908
121	0.1864413716
122	0.1862364735
123	0.1861764272
124	0.1860784489
125	0.1860480305
126	0.1857548064
127	0.1857181125
128	0.1854977078
129	0.1849846104
130	0.1849203816
131	0.1845371769
132	0.1843246885
133	0.1839699033
134	0.1837941572
135	0.1834076812
136	0.1831778331
137	0.1828208061
138	0.1827666617
139	0.1823904181
140	0.1823530736
141	0.1821107875
142	0.1820738449
143	0.1819195442
144	0.1818254835
145	0.1817592587
146	0.1813509364
147	0.1813015924
148	0.1811965977
149	0.181052581
150	0.1808881005
151	0.1807949936
152	0.1807936345
153	0.180719707
154	0.1806181421
155	0.1804062289
156	0.1800308891
157	0.1799397623
158	0.1798951495
159	0.1798003421
160	0.1798003336
161	0.1794967736
162	0.1794731487
163	0.1794592167
164	0.1792152333
165	0.1790872261
166	0.1790594377
167	0.1787869783
168	0.1785407555
169	0.1784862271
170	0.1784862254
171	0.1783711729
172	0.1783584488
173	0.1783536686
174	0.1783305619
175	0.1781346519
176	0.1779883782
177	0.1779279364
178	0.1778780573
179	0.1777789612
180	0.1776027244
181	0.1776007354
182	0.1775787712
183	0.177160002
184	0.1771455105
185	0.1771347729
186	0.1769205689
187	0.1768005005
188	0.1767009498
189	0.1765614003
190	0.1764976428
191	0.176416352
192	0.1763807357
193	0.1763783359
194	0.1762895034
195	0.1762745148
196	0.1762375788
197	0.1759624071
198	0.1757827585
199	0.1756500731
200	0.1756283887
201	0.1754998507
202	0.1753401482
203	0.1752572565
204	0.1752213035
205	0.1752165773
206	0.1752052128
207	0.1749096952
208	0.1747949293
209	0.1747097376
210	0.1745948198
211	0.1745527241
212	0.1744155556
213	0.1744096852
214	0.1744037048
215	0.1742715422
216	0.1742637883
217	0.1741533113
218	0.1739606952
219	0.1738432224
220	0.1737143406
221	0.1736902339
222	0.173417524
223	0.1732868792
224	0.1732846109
225	0.1727946626
226	0.1726551945
227	0.1725268219
228	0.1724601917
229	0.1724266773
230	0.172266511
231	0.1720585606
232	0.1718804167
233	0.171837296
234	0.1718052336
235	0.1717778836
236	0.1717759469
237	0.1715610843
238	0.1714915989
239	0.1712851396
240	0.1709568847
241	0.1708940412
242	0.1708559876
243	0.1708288263
244	0.1708072203
245	0.1705551464
246	0.1703242285
247	0.1702000551
248	0.1701018326
249	0.1700766999
250	0.1700727833
251	0.1699731382
252	0.1698189216
253	0.1697869933
254	0.1695608067
255	0.1693229987
256	0.1693067397
257	0.1691452
258	0.1690487409
259	0.1687633384
260	0.1687445868
261	0.1686842681
262	0.1686330911
263	0.1686307571
264	0.1686229576
265	0.1683895861
266	0.1683105937
267	0.1682563139
268	0.1682078781
269	0.1680314863
270	0.1680195713
271	0.1679429839
272	0.1679395469
273	0.1678396259
274	0.1678378129
275	0.1675959635
276	0.1675638273
277	0.1675605554
278	0.1673762198
279	0.1673499878
280	0.1671923377
281	0.1671515727
282	0.1671329793
283	0.1670578654
284	0.1670362304
285	0.1669984304
286	0.1668467101
287	0.1668435031
288	0.1668427509
289	0.1668119905
290	0.1667815318
291	0.1667464894
292	0.1666561365
293	0.1666560756
294	0.1666254115
295	0.1666138958
296	0.1664950783
297	0.1663862884
298	0.16637727
299	0.1661872023
300	0.1661406452
301	0.1660718335
302	0.1660622332
303	0.1660032564
304	0.1659500575
305	0.1659088956
306	0.1657418486
307	0.1657377056
308	0.1657290796
309	0.1657038183
310	0.1656036562
311	0.1655553574
312	0.1654703191
313	0.1653066966
314	0.1653005523
315	0.1652891888
316	0.1652891546
317	0.1652384632
318	0.164968057
319	0.1649176802
320	0.1648367701
321	0.1647360505
322	0.1645804621
323	0.1644534317
324	0.1644366666
325	0.1643279391
326	0.1641232388
327	0.1639894284
328	0.1639514301
329	0.163851026
330	0.1637976922
331	0.1636836466
332	0.1635519937
333	0.1635447274
334	0.1635319715
335	0.1634803761
336	0.1634637804
337	0.1633521528
338	0.1632917139
339	0.1632262132
340	0.1630812323
341	0.1630485592
342	0.1629730207
343	0.162948333
344	0.1626656023
345	0.1625797995
346	0.162559285
347	0.1624793813
348	0.1624609015
349	0.1624046809
350	0.1624011937
351	0.1622898062
352	0.1622877835
353	0.1622231652
354	0.1622012869
355	0.1620678577
356	0.161982002
357	0.1619437611
358	0.1617869885
359	0.1615788901
360	0.1615558697
361	0.1614875421
362	0.1613597902
363	0.161314999
364	0.1612233231
365	0.1612020805
366	0.1609555226
367	0.1606758171
368	0.1606358361
369	0.1606355595
370	0.1605259333
371	0.1601467621
372	0.1599561364
373	0.1599278244
374	0.1597713311
375	0.1595022002
376	0.1594235546
377	0.1592490953
378	0.1591211724
379	0.1590403842
380	0.1588970017
381	0.1586243638
382	0.15838971
383	0.1581844842
384	0.1581633616
385	0.1581070986
386	0.1580355821
387	0.1578438021
388	0.1577357438
389	0.1576423349
390	0.1575452122
391	0.1575110859
392	0.1574812978
393	0.1571197313
