iter	Passed	Remaining
0	386	386457
1	540	269849
2	610	202881
3	692	172425
4	810	161196
5	990	164036
6	1065	151208
7	1192	147862
8	1309	144160
9	1455	144059
10	1507	135496
11	1611	132647
12	1684	127911
13	1723	121372
14	1836	120564
15	1960	120548
16	2071	119788
17	2193	119672
18	2306	119070
19	2363	115826
20	2469	115144
21	2559	113792
22	2676	113677
23	2789	113432
24	2884	112507
25	2996	112248
26	3042	109641
27	3082	107018
28	3111	104192
29	3195	103325
30	3329	104064
31	3445	104234
32	3554	104163
33	3668	104233
34	3758	103636
35	3847	103029
36	3963	103152
37	4071	103070
38	4172	102804
39	4273	102557
40	4383	102528
41	4439	101258
42	4533	100903
43	4620	100396
44	4703	99821
45	4768	98901
46	4828	97914
47	4885	96894
48	4982	96696
49	5085	96620
50	5192	96621
51	5260	95896
52	5351	95627
53	5409	94771
54	5521	94868
55	5589	94230
56	5678	93941
57	5723	92956
58	5837	93097
59	5921	92763
60	5975	91983
61	6071	91859
62	6175	91843
63	6282	91885
64	6385	91846
65	6469	91558
66	6539	91066
67	6588	90297
68	6686	90214
69	6789	90206
70	6835	89434
71	6941	89464
72	7009	89014
73	7109	88961
74	7231	89185
75	7296	88712
76	7393	88624
77	7498	88632
78	7610	88722
79	7658	88067
80	7706	87437
81	7794	87264
82	7902	87310
83	8006	87313
84	8084	87024
85	8140	86512
86	8214	86205
87	8264	85651
88	8322	85193
89	8363	84559
90	8460	84516
91	8499	83883
92	8586	83740
93	8677	83635
94	8750	83358
95	8847	83309
96	8937	83203
97	8984	82690
98	9066	82518
99	9160	82446
100	9209	81971
101	9250	81442
102	9301	81002
103	9360	80644
104	9448	80540
105	9542	80481
106	9637	80430
107	9731	80374
108	9806	80159
109	9852	79719
110	9938	79595
111	10027	79506
112	10115	79403
113	10153	78910
114	10186	78388
115	10268	78255
116	10342	78057
117	10418	77873
118	10467	77496
119	10538	77280
120	10623	77174
121	10711	77090
122	10784	76896
123	10840	76582
124	10899	76298
125	10929	75814
126	11009	75680
127	11059	75342
128	11151	75291
129	11245	75255
130	11307	75009
131	11406	75009
132	11455	74679
133	11546	74618
134	11633	74542
135	11723	74479
136	11822	74475
137	11870	74144
138	11956	74060
139	12040	73960
140	12095	73690
141	12143	73376
142	12201	73121
143	12295	73089
144	12399	73112
145	12457	72869
146	12557	72868
147	12617	72637
148	12689	72475
149	12781	72430
150	12829	72133
151	12913	72045
152	12953	71708
153	12993	71378
154	13083	71328
155	13154	71168
156	13247	71129
157	13331	71043
158	13387	70809
159	13500	70877
160	13528	70497
161	13612	70413
162	13650	70096
163	13692	69800
164	13761	69643
165	13851	69592
166	13891	69291
167	13975	69212
168	14064	69158
169	14105	68868
170	14136	68534
171	14185	68287
172	14225	68002
173	14258	67688
174	14293	67383
175	14378	67315
176	14474	67300
177	14568	67277
178	14626	67087
179	14673	66843
180	14726	66635
181	14757	66328
182	14798	66068
183	14886	66018
184	14943	65832
185	14986	65584
186	15068	65511
187	15155	65457
188	15212	65277
189	15289	65181
190	15317	64877
191	15380	64725
192	15412	64446
193	15444	64167
194	15529	64107
195	15589	63949
196	15630	63712
197	15714	63650
198	15791	63561
199	15884	63539
200	15932	63333
201	15998	63201
202	16089	63170
203	16146	63003
204	16192	62796
205	16229	62555
206	16267	62320
207	16353	62270
208	16442	62228
209	16497	62062
210	16581	62002
211	16620	61778
212	16698	61699
213	16733	61459
214	16787	61293
215	16841	61129
216	16875	60891
217	16960	60839
218	17032	60740
219	17127	60725
220	17210	60665
221	17265	60506
222	17343	60428
223	17407	60305
224	17460	60141
225	17548	60099
226	17637	60060
227	17729	60030
228	17812	59970
229	17908	59953
230	17966	59812
231	18065	59803
232	18176	59833
233	18224	59656
234	18256	59429
235	18320	59308
236	18348	59070
237	18439	59036
238	18528	58996
239	18587	58861
240	18669	58796
241	18707	58595
242	18810	58599
243	18865	58453
244	18904	58256
245	18988	58199
246	19085	58182
247	19144	58050
248	19228	57993
249	19278	57834
250	19315	57638
251	19400	57586
252	19496	57564
253	19554	57431
254	19622	57328
255	19719	57308
256	19759	57127
257	19850	57088
258	19924	57003
259	20012	56957
260	20072	56832
261	20158	56783
262	20252	56754
263	20300	56595
264	20366	56487
265	20447	56422
266	20515	56320
267	20569	56183
268	20621	56037
269	20701	55971
270	20764	55857
271	20813	55705
272	20857	55544
273	20944	55495
274	20994	55347
275	21083	55307
276	21179	55279
277	21219	55109
278	21308	55066
279	21393	55010
280	21484	54973
281	21580	54945
282	21627	54794
283	21713	54743
284	21788	54662
285	21843	54531
286	21926	54472
287	21972	54320
288	22013	54157
289	22102	54112
290	22194	54074
291	22242	53930
292	22294	53795
293	22318	53593
294	22388	53503
295	22474	53452
296	22566	53415
297	22656	53370
298	22703	53227
299	22787	53171
300	22874	53120
301	22920	52974
302	22955	52805
303	23000	52658
304	23088	52612
305	23146	52496
306	23204	52379
307	23239	52214
308	23272	52043
309	23326	51919
310	23388	51815
311	23433	51673
312	23482	51540
313	23567	51488
314	23613	51351
315	23655	51203
316	23689	51041
317	23778	50995
318	23850	50916
319	23940	50872
320	24034	50838
321	24127	50803
322	24219	50764
323	24308	50717
324	24365	50604
325	24445	50540
326	24541	50508
327	24634	50469
328	24727	50431
329	24798	50348
330	24886	50299
331	24944	50189
332	25022	50120
333	25068	49987
334	25111	49848
335	25198	49797
336	25288	49750
337	25373	49696
338	25430	49585
339	25498	49496
340	25586	49448
341	25645	49340
342	25717	49261
343	25774	49150
344	25856	49090
345	25949	49049
346	26037	48999
347	26092	48885
348	26151	48782
349	26244	48739
350	26282	48596
351	26370	48545
352	26441	48464
353	26534	48421
354	26625	48376
355	26725	48346
356	26815	48297
357	26873	48192
358	26958	48134
359	27049	48088
360	27134	48030
361	27226	47985
362	27314	47931
363	27385	47848
364	27432	47725
365	27481	47605
366	27562	47539
367	27653	47491
368	27749	47451
369	27814	47359
370	27897	47298
371	27982	47238
372	28088	47216
373	28158	47132
374	28249	47082
375	28344	47040
376	28435	46990
377	28532	46950
378	28623	46899
379	28694	46817
380	28743	46699
381	28836	46651
382	28922	46593
383	29040	46585
384	29153	46570
385	29244	46518
386	29336	46468
387	29427	46417
388	29524	46373
389	29618	46325
390	29706	46269
391	29761	46161
392	29820	46058
393	29911	46006
394	30005	45957
395	30098	45907
396	30188	45853
397	30278	45798
398	30348	45712
399	30425	45638
400	30532	45608
401	30595	45512
402	30683	45454
403	30774	45400
404	30870	45352
405	30985	45333
406	31081	45285
407	31183	45246
408	31285	45207
409	31395	45179
410	31469	45099
411	31599	45098
412	31729	45097
413	31785	44990
414	31847	44893
415	31967	44877
416	32075	44844
417	32185	44813
418	32291	44777
419	32412	44760
420	32482	44672
421	32581	44625
422	32689	44590
423	32806	44567
424	32919	44538
425	33031	44506
426	33138	44468
427	33251	44439
428	33361	44403
429	33477	44377
430	33587	44341
431	33680	44284
432	33772	44224
433	33866	44166
434	33955	44102
435	34041	44034
436	34087	43915
437	34175	43851
438	34249	43767
439	34319	43679
440	34407	43613
441	34496	43550
442	34590	43491
443	34682	43431
444	34770	43365
